;Push Press;0 %;;55,3;1;;;4;;0;;;LH Nackendrücken;;;;;34;;;;;;;;;;;;;;;
;sitzend Nackendrücken schulterbreit;82 %;35,0;42,9;1;;;5;;0;;;Aussenrotation;;;;;Rechts;;;;;;;;;;;;;;;
;Schulterbreiter Military Press;0 %;;46,8;1;;;6;;0;;;40° LH Bankdrücken;;;;;44;;;;;;;;;;;;;;;
;unilateral unsupported Trap 3 Raise;0 %;;6,6;8;;;7;;0;;;;;;;;;;;;;;;;;;;;;;;
;Dip;0 %;;76,1;1;;;8;;0;;;;;;;;;;;;;;;;;;;;;;;
;45° LH Bench Press;0 %;;59,2;1;;;9;;0;;;;;;;;;;;;;;;;;;;;;;;
;KH Schulter drücken;0 %;;18,9;8;;;10;;0;;;;;;;;;;;;;;;;;;;;;;;
;Schulterbreiter Preacher LH Curl;0 %;;29,9;1;;;11;;0;;;;;;;;;;;;;;;;;;;;;;;
;stehend breit proniert SZ Curl;0 %;;22,8;1;;;12;;0;;;;;;;;;;;;;;;;;;;;;;;
;Liegend SZ French Press ;0 %;;26,0;1;;;13;;0;;;;;;;;;;;;;;;;;;;;;;;
;Squat;100 %;90,0;90,0;1;;;14;;0;;;;;;;;;;;;;;;;;;;;;;;
;FrontSquat;0 %;;76,5;1;;;15;;0;;;;;;;;;;;;;;;;;;;;;;;
;Deadlift konven.;0 %;;108,0;1;;;16;;0;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;17;;0;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;18;;0;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;19;;0;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;20;;0;;;;;;;;;;;;;;;;;;;;;;;
