;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A1;Langhantel Kniebeuge Fersen Erhöht;3;6;20;8;25;8;30;;;;;;;;;;;;;;;4/0/1/0;90;;;2. Exzentrische Position (Gewicht an der untersten Position);;;;;;
A2;30° KH Schrägbank drücken neutral Bamboo Bench;3;8;7,5;8;10;8;12,5;;;;;;;;;;;;;;;H/0/0/H;90;;;3. Konzentrische Bewegung (Gewicht vom Boden wegbewegen);;;;;;
B1;Front Foot Elevated Split Squat;2;5 p S;KG;7 p S;KG;8 p S;KG;;;;;;;;;;;;;;;4/0/1/0;75;;;4. Konzentrische Position (Gewicht an der obersten Position);;;;;;
B2;Rudern m. Seil z. Hals proniert;3;10;80/4;10;90/4;10;100/4;;;;;;;;;;;;;;;3/0/1/2;75;;;;;;;;;
C;Reverse SZ Curl ;2;6-8;;6-8;;;;;;;;;;;;;;;;;;3/1/1/0;120;;;Zum Beispiel: Tempo 3/1/1/0 für Squats;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
15/3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Unilateral = Einarmig;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;Bilateral = Beidarmig;;;;;;
A1;Langhantel Kniebeuge Fersen Erhöht;3;8;22,5;8;25;12;27,5;;;;;;;;;;;;;;;4/0/1/0;90;;;;;;;;;
A2;30° KH Schrägbank drücken neutral Bamboo Bench;3;8;11;8;12,5;10;16;;;;;;;;;;;;;;;H/0/0/H;90;;;Reihenfolge:;;;;;;
B1;Front Foot Elevated Split Squat unterer Kabelzug;2;5 p S;40/4;6 p S;40/4;7 p S;40/4;;;;;;;;;;;;;;;4/0/1/0;75;;;Die Buchstaben zeigen dir an, in welcher Reihenfolge trainiert wird. ;;;;;;
B2;Rudern m. Seil z. Hals proniert;3;10;90/4;9;100/4;10;110/4;;;;;;;;;;;;;;;3/0/1/2;75;;;Hat ein Buchstabe 1 & 2, so werden die Übungen im Supersatz ausgeführt.;;;;;;
C;Reverse Sz Curl Fat Gripz;2;6-8;;6-8;;;;;;;;;;;;;;;;;;3/1/1/0;120;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Proniert = Obergriff;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Supiniert = Untergriff;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Neutral = Neutraler Griff;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Ist-Kraft in %;Ist-Kraft;Soll-Kraft;Reps;;;Umr.;;;;;Squats;;;;;46/19;;;;;;;;;Steigere dich in jeder Übung auf EINEN schwersten Satz;;;;;;
;LH Bankdrücken Schulterbreiter Griff;;;0,0;1;;;Wdh.;Ist-Kg;Erw. 1RM;;;Split Squats;;;;;Links;;;;;;;;;;;;;;;
;KH Aussenrotation;;;0,0;8;;;1;;0;;;;;;;;;;;;;;;;;;;;;;;
;Powell Raise;;;0,0;8;;;2;;0;;;;;;;;;;;;;;;;;;;;;;;
;Klimmzug;;;0,0;1;;;3;;0;;;;;;;;;;;;;;;;;;;;;;;
;Push Press;;;0,0;1;;;4;;0;;;;;;;;;;;;;;;;;;;;;;;
;sitzend Nackendrücken schulterbreit;;;0,0;1;;;5;;0;;;;;;;;;;;;;;;;;;;;;;;
;Schulterbreiter Military Press;;;0,0;1;;;6;;0;;;;;;;;;;;;;;;;;;;;;;;
;unilateral unsupported Trap 3 Raise;;;0,0;8;;;7;;0;;;;;;;;;;;;;;;;;;;;;;;
;Dip;;;0,0;1;;;8;;0;;;;;;;;;;;;;;;;;;;;;;;
;45° LH Bench Press;;;0,0;1;;;9;;0;;;;;;;;;;;;;;;;;;;;;;;
;KH Schulter drücken;;;0,0;8;;;10;;0;;;;;;;;;;;;;;;;;;;;;;;
;Schulterbreiter Preacher LH Curl;;;0,0;1;;;11;;0;;;;;;;;;;;;;;;;;;;;;;;
;stehend breit proniert SZ Curl;;;0,0;1;;;12;;0;;;;;;;;;;;;;;;;;;;;;;;
;Liegend SZ French Press ;;;0,0;1;;;13;;0;;;;;;;;;;;;;;;;;;;;;;;
;Squat;;;0,0;1;;;14;;0;;;;;;;;;;;;;;;;;;;;;;;
;FrontSquat;;;0,0;1;;;15;;0;;;;;;;;;;;;;;;;;;;;;;;
