;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A;LH Quad Squat;4;10;57,5;8;70;7;83,5;15;55;;;;;;;;;;;;;;;;;;;;;;;
B;45° BackX;4;10;10;8;12,5;6;15;15;17,5;;;;;;;;;;;;;;;;;;;;;;;
X;Latzug schulterbreit neutral;4;10;82,5kg;8;100kg;6;118kg;15;82,5kg;;;;;;;;;;;;;;;;;;;;;;;
X;30° KH drücken rotierend;4;10;16;8;19,5;7;23;15;16;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B Serie volle Glute ansteuerung und Rückenstrecker rausgenommen;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Ist-Kraft in %;Ist-Kraft;Soll-Kraft;Reps;;;Umr.;;;;;Squats;;;;;46/19;;;;;;;;;Steigere dich in jeder Übung auf EINEN schwersten Satz;;;;;;
;LH Bankdrücken Schulterbreiter Griff;100 %;67,0;67,0;1;;;Wdh.;Ist-Kg;Erw. 1RM;;;Split Squats;;;;;Links;;;;;;;;;;;;;;;
;KH Aussenrotation;67 %;4,5;6,7;8;;;1;;0;;;Quad Squat;;;;;46/21;;;;;;;;;;;;;;;
;Powell Raise;0 %;;5,4;8;;;2;;0;;;Lh Bankdrücken;;;;;36;;;;;;;;;;;;;;;
;Klimmzug;0 %;;58,3;1;;;3;;0;;;LH Quad Squat;;;;;46/21;;;;;;;;;;;;;;;
;Push Press;0 %;;57,0;1;;;4;;0;;;LH Nackendrücken;;;;;34;;;;;;;;;;;;;;;
;sitzend Nackendrücken schulterbreit;79 %;35,0;44,2;1;;;5;;0;;;Aussenrotation;;;;;Rechts;;;;;;;;;;;;;;;
;Schulterbreiter Military Press;0 %;;48,2;1;;;6;;0;;;40° LH Bankdrücken;;;;;44;;;;;;;;;;;;;;;
;unilateral unsupported Trap 3 Raise;0 %;;6,8;8;;;7;;0;;;45° BAckX;;;;;7;;;;;;;;;;;;;;;
;Dip;0 %;;78,4;1;;;8;;0;;;;;;;;;;;;;;;;;;;;;;;
;45° LH Bench Press;0 %;;61,0;1;;;9;;0;;;;;;;;;;;;;;;;;;;;;;;
;KH Schulter drücken;0 %;;19,4;8;;;10;;0;;;;;;;;;;;;;;;;;;;;;;;
;Schulterbreiter Preacher LH Curl;0 %;;30,8;1;;;11;;0;;;;;;;;;;;;;;;;;;;;;;;
;stehend breit proniert SZ Curl;0 %;;23,5;1;;;12;;0;;;;;;;;;;;;;;;;;;;;;;;
;Liegend SZ French Press ;0 %;;26,8;1;;;13;;0;;;;;;;;;;;;;;;;;;;;;;;
;Squat;100 %;99,0;99,0;1;;;14;;0;;;;;;;;;;;;;;;;;;;;;;;
;FrontSquat;0 %;;84,2;1;;;15;;0;;;;;;;;;;;;;;;;;;;;;;;
;Deadlift konven.;0 %;;118,8;1;;;16;;0;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;17;;0;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;18;;0;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;19;;0;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;20;;0;;;;;;;;;;;;;;;;;;;;;;;
