;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;stehend BIcep Curl semi supiniert;3;8;15;7;17,5;8;20;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Ist-Kraft in %;Ist-Kraft;Soll-Kraft;Reps;;;Umr.;;;;;Squats;;;;;46/19;;;;;;;;;Steigere dich in jeder Übung auf EINEN schwersten Satz;;;;;;
;LH Bankdrücken Schulterbreiter Griff;100 %;67,0;67,0;1;;;Wdh.;Ist-Kg;Erw. 1RM;;;Split Squats;;;;;Links;;;;;;;;;;;;;;;
;KH Aussenrotation;67 %;4,5;6,7;8;;;1;;0;;;Quad Squat;;;;;46/21;;;;;;;;;;;;;;;
;Powell Raise;0 %;;5,4;8;;;2;;0;;;Lh Bankdrücken;;;;;36;;;;;;;;;;;;;;;
;Klimmzug;0 %;;58,3;1;;;3;;0;;;LH Quad Squat;;;;;46/21;;;;;;;;;;;;;;;
;Push Press;0 %;;57,0;1;;;4;;0;;;LH Nackendrücken;;;;;34;;;;;;;;;;;;;;;
;sitzend Nackendrücken schulterbreit;79 %;35,0;44,2;1;;;5;;0;;;Aussenrotation;;;;;Rechts;;;;;;;;;;;;;;;
;Schulterbreiter Military Press;0 %;;48,2;1;;;6;;0;;;40° LH Bankdrücken;;;;;44;;;;;;;;;;;;;;;
;unilateral unsupported Trap 3 Raise;0 %;;6,8;8;;;7;;0;;;45° BAckX;;;;;5;;;;;;;;;;;;;;;
;Dip;0 %;;78,4;1;;;8;;0;;;;;;;;;;;;;;;;;;;;;;;
;45° LH Bench Press;0 %;;61,0;1;;;9;;0;;;;;;;;;;;;;;;;;;;;;;;
;KH Schulter drücken;0 %;;19,4;8;;;10;;0;;;;;;;;;;;;;;;;;;;;;;;
;Schulterbreiter Preacher LH Curl;0 %;;30,8;1;;;11;;0;;;;;;;;;;;;;;;;;;;;;;;
;stehend breit proniert SZ Curl;0 %;;23,5;1;;;12;;0;;;;;;;;;;;;;;;;;;;;;;;
;Liegend SZ French Press ;0 %;;26,8;1;;;13;;0;;;;;;;;;;;;;;;;;;;;;;;
;Squat;100 %;99,0;99,0;1;;;14;;0;;;;;;;;;;;;;;;;;;;;;;;
;FrontSquat;0 %;;84,2;1;;;15;;0;;;;;;;;;;;;;;;;;;;;;;;
;Deadlift konven.;0 %;;118,8;1;;;16;;0;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;17;;0;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;18;;0;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;19;;0;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;20;;0;;;;;;;;;;;;;;;;;;;;;;;
